Star|n_Star|RAJ2000|DEJ2000|XSLID|MJD|ArmMissing|spU|spV|spN|FileUVB|FileVIS|FileNIR|Comments|SimbadName
HD 25329                 | |04 03 15.000|+35 16 23.8|X0075|55162.1658|       |spU|spV|spN|fits/xsl_spectrum_X0075_uvb.fits        |fits/xsl_spectrum_X0075_vis.fits        |fits/xsl_spectrum_X0075_nir.fits        |                                                                                                                                                                                                        |HD 25329
HD 25532                 | |04 04 11.010|+23 24 27.1|X0547|56262.1824|       |spU|spV|spN|fits/xsl_spectrum_X0547_uvb.fits        |fits/xsl_spectrum_X0547_vis.fits        |fits/xsl_spectrum_X0547_nir.fits        |                                                                                                                                                                                                        |HD 25532
HD 25673                 | |04 04 20.300|-04 39 18.5|X0561|56278.1169|       |spU|spV|spN|fits/xsl_spectrum_X0561_uvb.fits        |fits/xsl_spectrum_X0561_vis.fits        |fits/xsl_spectrum_X0561_nir.fits        |                                                                                                                                                                                                        |HD 25673
HD 26297                 | |04 09 03.420|-15 53 27.0|X0548|56262.1927|       |spU|spV|spN|fits/xsl_spectrum_X0548_uvb.fits        |fits/xsl_spectrum_X0548_vis.fits        |fits/xsl_spectrum_X0548_nir.fits        |                                                                                                                                                                                                        |HD 26297
BD+06 0648               | |04 13 13.110|+06 36 01.7|X0549|56262.2035|       |spU|spV|spN|fits/xsl_spectrum_X0549_uvb.fits        |fits/xsl_spectrum_X0549_vis.fits        |fits/xsl_spectrum_X0549_nir.fits        |                                                                                                                                                                                                        |BD+06 0648
HD 284248                | |04 14 35.520|+22 21 04.2|X0072|55162.0980|       |spU|spV|spN|fits/xsl_spectrum_X0072_uvb.fits        |fits/xsl_spectrum_X0072_vis.fits        |fits/xsl_spectrum_X0072_nir.fits        |                                                                                                                                                                                                        |HD 284248
HD 27295                 | |04 19 26.100|+21 08 32.3|X0081|55178.2016|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0081_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0081_vis_nlc.fits|fits/xsl_spectrum_X0081_nir.fits        |                                                                                                                                                                                                        |HD 27295
HD 27295                 | |04 19 26.100|+21 08 32.3|X0313|55526.0858|       |spU|spV|spN|fits/xsl_spectrum_X0313_uvb.fits        |fits/xsl_spectrum_X0313_vis.fits        |fits/xsl_spectrum_X0313_nir.fits        |                                                                                                                                                                                                        |HD 27295
HD 27771                 | |04 23 32.330|+14 40 13.7|X0558|56278.0901|       |spU|spV|spN|fits/xsl_spectrum_X0558_uvb.fits        |fits/xsl_spectrum_X0558_vis.fits        |fits/xsl_spectrum_X0558_nir.fits        |                                                                                                                                                                                                        |HD 27771
HD 28978                 | |04 34 08.270|+05 34 07.0|X0074|55162.1154|       |spU|spV|spN|fits/xsl_spectrum_X0074_uvb.fits        |fits/xsl_spectrum_X0074_vis.fits        |fits/xsl_spectrum_X0074_nir.fits        |                                                                                                                                                                                                        |HD 28978
HD 29391                 | |04 37 36.130|-02 28 24.7|X0082|55178.2177|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0082_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0082_vis_nlc.fits|fits_nlc/xsl_spectrum_X0082_nir_nlc.fits|                                                                                                                                                                                                        |HD 29391
HD 29391                 | |04 37 36.130|-02 28 24.7|X0306|55474.2264|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0306_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0306_vis_nlc.fits|fits/xsl_spectrum_X0306_nir.fits        |                                                                                                                                                                                                        |HD 29391
